,neighbourhood_code,neigbourhood,neighbourhood_combination_code,district_code,surface_m2,geometry 
99,E18a,Bellamybuurt Noord,E18,E,110078.0,"POLYGON ((4.862259 52.367114, 4.863284 52.368231, 4.865027 52.370131, 4.866358 52.371579, 4.867405 52.371789, 4.869586 52.368597, 4.868519 52.368325, 4.868418 52.368307, 4.868324 52.368298, 4.868212 52.368298, 4.867309 52.368328, 4.867167 52.368321, 4.867028 52.368304, 4.866322 52.368142, 4.865956 52.368066, 4.862259 52.367114))"
100,E18b,Bellamybuurt Zuid,E18,E,163793.0,"POLYGON ((4.860071 52.364592, 4.861301 52.366072, 4.862259 52.367114, 4.865956 52.368066, 4.866322 52.368142, 4.867028 52.368304, 4.867167 52.368321, 4.867309 52.368328, 4.868212 52.368298, 4.868324 52.368298, 4.868418 52.368307, 4.868519 52.368325, 4.869586 52.368597, 4.870809 52.366843, 4.868665 52.366263, 4.867192 52.365884, 4.862683 52.3648, 4.861131 52.364422, 4.860942 52.364393, 4.860788 52.364393, 4.860631 52.364413, 4.860519 52.364443, 4.860071 52.364592))"
101,E19a,Da Costabuurt Zuid,E19,E,88445.7,"POLYGON ((4.876808 52.368495, 4.877059 52.368145, 4.877199 52.36789, 4.877265 52.367695, 4.87732 52.367293, 4.877363 52.367126, 4.877431 52.366946, 4.877518 52.366764, 4.873352 52.365542, 4.871984 52.365139, 4.870809 52.366843, 4.873799 52.367707, 4.876808 52.368495))"
102,E19b,Borgerbuurt,E19,E,124822.0,"POLYGON ((4.862683 52.3648, 4.867192 52.365884, 4.868665 52.366263, 4.870809 52.366843, 4.871984 52.365139, 4.871477 52.364981, 4.869473 52.364429, 4.866714 52.363775, 4.863784 52.363059, 4.862683 52.3648))"
103,E19c,Lootsbuurt,E19,E,74363.0,"POLYGON ((4.859239 52.363663, 4.860071 52.364592, 4.860519 52.364443, 4.860631 52.364413, 4.860788 52.364393, 4.860942 52.364393, 4.861131 52.364422, 4.862683 52.3648, 4.863784 52.363059, 4.857456 52.361542, 4.857637 52.361833, 4.857828 52.362084, 4.859239 52.363663))"
104,E20a,Helmersbuurt Oost,E20,E,112498.0,"POLYGON ((4.873352 52.365542, 4.877518 52.366764, 4.877656 52.366637, 4.877889 52.366459, 4.878137 52.366302, 4.878397 52.366165, 4.878534 52.366073, 4.878701 52.365939, 4.878867 52.365772, 4.87907 52.365494, 4.879163 52.365313, 4.879218 52.365119, 4.879232 52.36498, 4.879225 52.364917, 4.879218 52.364741, 4.87923 52.364624, 4.879255 52.364507, 4.879317 52.364336, 4.878641 52.364121, 4.878712 52.363988, 4.878868 52.363796, 4.876435 52.363047, 4.875293 52.362743, 4.873352 52.365542))"
105,E20b,WG-terrein,E20,E,167807.0,"POLYGON ((4.866714 52.363775, 4.869473 52.364429, 4.871477 52.364981, 4.871984 52.365139, 4.873352 52.365542, 4.875293 52.362743, 4.873628 52.362315, 4.86899 52.361094, 4.868329 52.360922, 4.867917 52.360825, 4.867466 52.361482, 4.86817 52.361672, 4.866714 52.363775))"
106,E20c,Cremerbuurt Oost,E20,E,68958.4,"POLYGON ((4.863784 52.363059, 4.866714 52.363775, 4.86817 52.361672, 4.867466 52.361482, 4.867917 52.360825, 4.865539 52.360287, 4.865184 52.360892, 4.86488 52.361349, 4.863784 52.363059))"
107,E21a,Cremerbuurt West,E21,E,206003.0,"POLYGON ((4.854865 52.357854, 4.856443 52.359811, 4.856705 52.360112, 4.856832 52.360282, 4.856971 52.360494, 4.857085 52.360703, 4.857186 52.360923, 4.85733 52.361289, 4.857456 52.361542, 4.863784 52.363059, 4.86488 52.361349, 4.865184 52.360892, 4.865539 52.360287, 4.864693 52.360093, 4.863769 52.359882, 4.861995 52.359457, 4.857007 52.358145, 4.855739 52.357784, 4.855516 52.357756, 4.855289 52.357759, 4.855068 52.357792, 4.854865 52.357854))"
108,E21b,Vondelparkbuurt West,E21,E,102625.0,"POLYGON ((4.854123 52.356515, 4.85433 52.357175, 4.854781 52.357748, 4.854865 52.357854, 4.855068 52.357792, 4.855289 52.357759, 4.855516 52.357756, 4.855739 52.357784, 4.857007 52.358145, 4.861995 52.359457, 4.863769 52.359882, 4.864693 52.360093, 4.864935 52.359674, 4.865264 52.359192, 4.865451 52.359001, 4.86368 52.358575, 4.863185 52.358464, 4.863179 52.358473, 4.862257 52.358243, 4.862248 52.358255, 4.861812 52.358146, 4.861822 52.358128, 4.859784 52.357603, 4.858944 52.357397, 4.855085 52.356402, 4.854123 52.356515))"
109,E22a,Vondelparkbuurt Oost,E22,E,130108.0,"POLYGON ((4.873628 52.362315, 4.875293 52.362743, 4.876435 52.363047, 4.878868 52.363796, 4.878712 52.363988, 4.878641 52.364121, 4.879317 52.364336, 4.879359 52.364251, 4.87942 52.364171, 4.879496 52.364101, 4.879584 52.364042, 4.879756 52.363964, 4.880215 52.363833, 4.880543 52.363702, 4.880708 52.363619, 4.880851 52.363535, 4.881121 52.363354, 4.881236 52.363262, 4.881413 52.36312, 4.881469 52.363025, 4.881516 52.362931, 4.881577 52.362757, 4.881621 52.362501, 4.881715 52.362315, 4.881797 52.362225, 4.881886 52.362155, 4.882097 52.362049, 4.880603 52.361624, 4.878586 52.361086, 4.877454 52.360773, 4.877388 52.360864, 4.877359 52.360856, 4.877197 52.361088, 4.876748 52.360961, 4.876889 52.360759, 4.876916 52.360766, 4.876968 52.360752, 4.876984 52.360728, 4.877021 52.36073, 4.877036 52.360707, 4.876933 52.360681, 4.876953 52.360653, 4.876634 52.360573, 4.876625 52.360605, 4.876594 52.360619, 4.876556 52.360673, 4.876566 52.36069, 4.876496 52.360792, 4.876259 52.36073, 4.876185 52.360799, 4.875869 52.360709, 4.875826 52.360762, 4.875602 52.360811, 4.875532 52.360743, 4.87547 52.360699, 4.875369 52.360667, 4.875294 52.360668, 4.875245 52.360675, 4.87503 52.360777, 4.874606 52.360903, 4.874395 52.36092, 4.874253 52.360924, 4.874159 52.360957, 4.874076 52.360974, 4.874019 52.361011, 4.873937 52.36099, 4.873853 52.361105, 4.873989 52.361172, 4.874066 52.36124, 4.874096 52.361286, 4.874092 52.361397, 4.874062 52.361481, 4.873925 52.361739, 4.873844 52.361985, 4.873628 52.362315))"
110,E22b,Vondelparkbuurt Midden,E22,E,91103.0,"POLYGON ((4.864693 52.360093, 4.865539 52.360287, 4.867917 52.360825, 4.868329 52.360922, 4.86899 52.361094, 4.873628 52.362315, 4.873844 52.361985, 4.873925 52.361739, 4.874062 52.361481, 4.874092 52.361397, 4.874096 52.361286, 4.874066 52.36124, 4.873989 52.361172, 4.873853 52.361105, 4.873937 52.36099, 4.873858 52.360969, 4.873828 52.360848, 4.873789 52.3608, 4.873728 52.360777, 4.873608 52.360744, 4.873499 52.360729, 4.873291 52.360744, 4.873017 52.360638, 4.872455 52.360469, 4.87218 52.360401, 4.871917 52.360353, 4.871846 52.360344, 4.871541 52.360349, 4.87139 52.360562, 4.871276 52.360534, 4.871476 52.36024, 4.871303 52.360195, 4.871247 52.360276, 4.870061 52.359976, 4.869958 52.360116, 4.868645 52.359762, 4.868152 52.359636, 4.866881 52.359344, 4.865909 52.359112, 4.865909 52.358927, 4.8658 52.358815, 4.86554 52.358846, 4.865522 52.358858, 4.865485 52.359006, 4.865451 52.359001, 4.865264 52.359192, 4.864935 52.359674, 4.864693 52.360093))"
111,E37a,Bedrijventerrein Landlust,E37,E,140021.0,"POLYGON ((4.856674 52.385316, 4.860673 52.385386, 4.860711 52.384507, 4.860744 52.384318, 4.860811 52.384109, 4.860881 52.383957, 4.860971 52.383798, 4.861331 52.383291, 4.86162 52.382816, 4.861805 52.382463, 4.861922 52.38221, 4.862118 52.381707, 4.862627 52.380386, 4.861757 52.380264, 4.861507 52.380112, 4.857641 52.382345, 4.857524 52.382401, 4.857399 52.382449, 4.857231 52.382495, 4.857054 52.382527, 4.857018 52.383355, 4.856944 52.38347, 4.856923 52.384061, 4.856727 52.384057, 4.856674 52.385316))"
112,E37c,Bosleeuw,E37,E,342711.0,"POLYGON ((4.844579 52.385095, 4.844813 52.3851, 4.845032 52.385111, 4.845284 52.385145, 4.845604 52.385161, 4.846197 52.385151, 4.847176 52.385151, 4.847509 52.385157, 4.847482 52.384805, 4.847504 52.38436, 4.847525 52.384295, 4.847567 52.384234, 4.847667 52.384155, 4.850832 52.382785, 4.851286 52.382578, 4.851833 52.38229, 4.85436 52.380827, 4.854604 52.380707, 4.853617 52.380066, 4.852529 52.379366, 4.852295 52.379251, 4.852127 52.379188, 4.85195 52.379133, 4.851623 52.37906, 4.846083 52.377943, 4.845214 52.377764, 4.845079 52.377749, 4.844955 52.377756, 4.844068 52.377896, 4.84445 52.378834, 4.844625 52.379409, 4.844673 52.379597, 4.844729 52.379906, 4.844762 52.380138, 4.8448 52.380597, 4.844803 52.380875, 4.844762 52.381826, 4.844579 52.385095))"
113,E37d,Landlust Zuid,E37,E,216822.0,"POLYGON ((4.856774 52.379075, 4.85771 52.379392, 4.860955 52.379842, 4.861082 52.379879, 4.861199 52.379929, 4.861507 52.380112, 4.861757 52.380264, 4.862627 52.380386, 4.864439 52.375405, 4.862867 52.37519, 4.862071 52.375084, 4.860458 52.374906, 4.85975 52.374783, 4.858703 52.374657, 4.85857 52.374647, 4.858541 52.374812, 4.857682 52.377568, 4.857604 52.377775, 4.857463 52.378081, 4.85729 52.378381, 4.857087 52.378674, 4.856774 52.379075))"
114,E37e,Erasmusparkbuurt Oost,E37,E,90709.1,"POLYGON ((4.854604 52.380707, 4.854792 52.380605, 4.855323 52.380291, 4.855838 52.379942, 4.856157 52.379689, 4.856354 52.379513, 4.856626 52.379241, 4.856774 52.379075, 4.857087 52.378674, 4.85729 52.378381, 4.857463 52.378081, 4.857604 52.377775, 4.857682 52.377568, 4.858541 52.374812, 4.85857 52.374647, 4.857692 52.374591, 4.855569 52.37435, 4.855509 52.374538, 4.855311 52.374518, 4.854668 52.376592, 4.856803 52.376842, 4.856371 52.378153, 4.856321 52.378276, 4.856256 52.378397, 4.856145 52.378552, 4.856046 52.378664, 4.855891 52.378805, 4.855759 52.378904, 4.855554 52.379115, 4.85533 52.379318, 4.855087 52.379513, 4.854891 52.379653, 4.854546 52.379875, 4.854094 52.379785, 4.853617 52.380066, 4.854604 52.380707))"
115,E39c,Kolenkitbuurt Zuid,E39,E,128037.0,"POLYGON ((4.8367 52.376345, 4.837325 52.377826, 4.837464 52.37816, 4.837463 52.378184, 4.837615 52.378534, 4.837631 52.378531, 4.837659 52.378598, 4.837652 52.378599, 4.837682 52.378669, 4.837645 52.378664, 4.837724 52.378851, 4.839167 52.378633, 4.842128 52.378169, 4.84383 52.377934, 4.844068 52.377896, 4.843011 52.375356, 4.8367 52.376345))"
116,E39d,Kolenkitbuurt Noord,E39,E,298892.0,"POLYGON ((4.839257 52.38501, 4.839836 52.385028, 4.843294 52.385093, 4.843933 52.385081, 4.844579 52.385095, 4.844762 52.381826, 4.844803 52.380875, 4.8448 52.380597, 4.844762 52.380138, 4.844729 52.379906, 4.844673 52.379597, 4.844625 52.379409, 4.84445 52.378834, 4.844068 52.377896, 4.84383 52.377934, 4.842128 52.378169, 4.839167 52.378633, 4.837724 52.378851, 4.837811 52.37906, 4.837823 52.379058, 4.837854 52.379132, 4.837873 52.379129, 4.837877 52.379136, 4.838116 52.37971, 4.838107 52.379712, 4.838202 52.379957, 4.838208 52.37997, 4.838224 52.379967, 4.838313 52.380175, 4.838296 52.380178, 4.838442 52.380526, 4.838446 52.380536, 4.838461 52.380534, 4.838546 52.380739, 4.838529 52.380742, 4.838677 52.381094, 4.838693 52.381091, 4.838775 52.381279, 4.838782 52.381298, 4.838764 52.381302, 4.838897 52.381616, 4.838915 52.381613, 4.838945 52.381683, 4.838922 52.381686, 4.838968 52.381787, 4.838949 52.381791, 4.839086 52.382115, 4.839098 52.382113, 4.839131 52.382192, 4.839138 52.382191, 4.839265 52.382587, 4.839279 52.382585, 4.839305 52.382688, 4.839296 52.382689, 4.839374 52.383053, 4.839387 52.383052, 4.839405 52.383158, 4.83939 52.383159, 4.83944 52.383552, 4.839453 52.383551, 4.839461 52.383622, 4.839445 52.383622, 4.839456 52.383791, 4.839447 52.384034, 4.83946 52.384035, 4.839419 52.384423, 4.839445 52.384424, 4.839417 52.38458, 4.839361 52.38458, 4.839257 52.38501))"
117,E41a,John Franklinbuurt,E41,E,74894.5,"POLYGON ((4.852417 52.373394, 4.852926 52.373483, 4.853148 52.373548, 4.854656 52.374167, 4.854811 52.374222, 4.855075 52.374283, 4.855569 52.37435, 4.856556 52.371119, 4.853694 52.370628, 4.852417 52.373394))"
118,E41b,Jan Maijenbuurt,E41,E,78377.5,"POLYGON ((4.84888 52.372735, 4.849314 52.372807, 4.849994 52.372936, 4.851123 52.373165, 4.852417 52.373394, 4.853694 52.370628, 4.850265 52.370031, 4.850169 52.370252, 4.84888 52.372735))"
119,E41c,Orteliusbuurt Noord,E41,E,42613.6,"POLYGON ((4.846784 52.372404, 4.847125 52.372434, 4.84888 52.372735, 4.850169 52.370252, 4.850265 52.370031, 4.848359 52.369708, 4.847314 52.371851, 4.847175 52.372038, 4.847147 52.372056, 4.846942 52.372132, 4.846899 52.372162, 4.846784 52.372404))"
120,E41d,Mercatorpark,E41,E,98165.8,"POLYGON ((4.843038 52.372207, 4.844394 52.372184, 4.845081 52.372199, 4.845358 52.372211, 4.84592 52.372261, 4.846085 52.372288, 4.846286 52.372336, 4.846452 52.372367, 4.846784 52.372404, 4.846899 52.372162, 4.846942 52.372132, 4.847147 52.372056, 4.847175 52.372038, 4.847314 52.371851, 4.848359 52.369708, 4.847745 52.369603, 4.847629 52.369857, 4.847003 52.369761, 4.846617 52.36971, 4.846091 52.369657, 4.845639 52.369627, 4.845222 52.369613, 4.842569 52.36958, 4.842562 52.369821, 4.842572 52.369999, 4.84272 52.370921, 4.842799 52.371855, 4.842854 52.371871, 4.842855 52.371905, 4.843028 52.371903, 4.843038 52.372207))"
121,E42a,Balboaplein e.o.,E42,E,120108.0,"POLYGON ((4.850265 52.370031, 4.853694 52.370628, 4.856556 52.371119, 4.857367 52.368458, 4.8563 52.368336, 4.853192 52.367803, 4.853402 52.367338, 4.852487 52.367179, 4.851587 52.369136, 4.850739 52.368991, 4.850265 52.370031))"
122,E42b,Columbusplein e.o.,E42,E,155084.0,"POLYGON ((4.857367 52.368458, 4.857571 52.36779, 4.85818 52.364333, 4.858197 52.364278, 4.858253 52.364201, 4.857636 52.36425, 4.856605 52.364158, 4.855675 52.363849, 4.85319 52.363545, 4.853118 52.365764, 4.853078 52.365898, 4.852487 52.367179, 4.853402 52.367338, 4.853192 52.367803, 4.8563 52.368336, 4.857367 52.368458))"
123,E42c,Orteliusbuurt Midden,E42,E,60897.7,"POLYGON ((4.848359 52.369708, 4.850265 52.370031, 4.850739 52.368991, 4.851587 52.369136, 4.852487 52.367179, 4.849705 52.366698, 4.848678 52.368925, 4.848707 52.368951, 4.848359 52.369708))"
124,E42d,Orteliusbuurt Zuid,E42,E,83635.2,"POLYGON ((4.849187 52.364217, 4.850498 52.364232, 4.850459 52.365189, 4.850386 52.365368, 4.850323 52.365358, 4.849705 52.366698, 4.852487 52.367179, 4.853078 52.365898, 4.853118 52.365764, 4.85319 52.363545, 4.851657 52.363362, 4.849461 52.363359, 4.849216 52.363359, 4.849187 52.364217))"
125,E43a,Paramariboplein e.o.,E43,E,171299.0,"POLYGON ((4.85319 52.363545, 4.855675 52.363849, 4.856605 52.364158, 4.857636 52.36425, 4.858253 52.364201, 4.858342 52.364137, 4.859239 52.363663, 4.857828 52.362084, 4.857637 52.361833, 4.857456 52.361542, 4.85733 52.361289, 4.857186 52.360923, 4.857085 52.360703, 4.856971 52.360494, 4.856832 52.360282, 4.856705 52.360112, 4.856443 52.359811, 4.854865 52.357854, 4.854781 52.357748, 4.853897 52.358017, 4.853455 52.358982, 4.853241 52.363095, 4.85319 52.363545))"
126,E43b,Postjeskade e.o.,E43,E,175544.0,"POLYGON ((4.848885 52.358037, 4.84889 52.360751, 4.849515 52.360942, 4.849461 52.363359, 4.851657 52.363362, 4.85319 52.363545, 4.853241 52.363095, 4.853455 52.358982, 4.853897 52.358017, 4.853623 52.358085, 4.853551 52.35809, 4.853405 52.358066, 4.853008 52.357981, 4.852844 52.357932, 4.852718 52.357913, 4.85258 52.357904, 4.852426 52.3579, 4.852176 52.357916, 4.850575 52.357904, 4.850287 52.357909, 4.850042 52.357915, 4.848891 52.357906, 4.848885 52.358037))"
127,F76a,Buurt 3,F76,F,699988.0,"POLYGON ((4.818736 52.384723, 4.83153 52.384871, 4.836014 52.384942, 4.839257 52.38501, 4.839361 52.38458, 4.839417 52.38458, 4.839445 52.384424, 4.839419 52.384423, 4.83946 52.384035, 4.839447 52.384034, 4.839456 52.383791, 4.839445 52.383622, 4.839461 52.383622, 4.839453 52.383551, 4.83944 52.383552, 4.83939 52.383159, 4.839405 52.383158, 4.839387 52.383052, 4.839374 52.383053, 4.839296 52.382689, 4.839305 52.382688, 4.839279 52.382585, 4.839265 52.382587, 4.839138 52.382191, 4.839131 52.382192, 4.839098 52.382113, 4.839086 52.382115, 4.838949 52.381791, 4.838968 52.381787, 4.838922 52.381686, 4.838945 52.381683, 4.838915 52.381613, 4.838897 52.381616, 4.838764 52.381302, 4.838782 52.381298, 4.838775 52.381279, 4.838693 52.381091, 4.838677 52.381094, 4.838529 52.380742, 4.838546 52.380739, 4.838461 52.380534, 4.838446 52.380536, 4.838442 52.380526, 4.838296 52.380178, 4.838313 52.380175, 4.838224 52.379967, 4.838208 52.37997, 4.838202 52.379957, 4.838107 52.379712, 4.838116 52.37971, 4.837877 52.379136, 4.837873 52.379129, 4.837854 52.379132, 4.837823 52.379058, 4.837811 52.37906, 4.837724 52.378851, 4.82141 52.381369, 4.819865 52.381662, 4.819624 52.381721, 4.819406 52.381807, 4.819215 52.381913, 4.819059 52.382039, 4.818977 52.382133, 4.818889 52.38228, 4.818846 52.382437, 4.818736 52.384723))"
128,F76b,Buurt 2,F76,F,315102.0,"POLYGON ((4.82141 52.381369, 4.837724 52.378851, 4.837645 52.378664, 4.837682 52.378669, 4.837652 52.378599, 4.837659 52.378598, 4.837631 52.378531, 4.837615 52.378534, 4.837463 52.378184, 4.837464 52.37816, 4.837325 52.377826, 4.8367 52.376345, 4.824041 52.378325, 4.823901 52.378359, 4.823739 52.378421, 4.821983 52.379336, 4.820648 52.379546, 4.82141 52.381369))"
129,F77a,Slotermeer Zuid,F77,F,434244.0,"POLYGON ((4.819042 52.375702, 4.820138 52.378325, 4.820648 52.379546, 4.821983 52.379336, 4.823739 52.378421, 4.823901 52.378359, 4.824041 52.378325, 4.8367 52.376345, 4.835493 52.373443, 4.835478 52.373443, 4.835441 52.373353, 4.835426 52.373355, 4.835338 52.373145, 4.819042 52.375702))"
130,F77b,Noordoever Sloterplas,F77,F,402112.0,"POLYGON ((4.817706 52.372581, 4.819042 52.375702, 4.835338 52.373145, 4.835251 52.372938, 4.83528 52.372933, 4.834944 52.372126, 4.834694 52.371439, 4.834548 52.370905, 4.834419 52.37037, 4.833679 52.370482, 4.833585 52.37051, 4.833399 52.370586, 4.833262 52.370626, 4.832798 52.3707, 4.832659 52.370735, 4.832319 52.370787, 4.832222 52.370554, 4.831969 52.370133, 4.831072 52.369874, 4.830917 52.3698, 4.83086 52.369759, 4.830794 52.36969, 4.829905 52.369907, 4.829949 52.369961, 4.82931 52.370303, 4.829261 52.370358, 4.829247 52.370421, 4.829267 52.370476, 4.829329 52.370552, 4.827161 52.37212, 4.825654 52.370872, 4.824495 52.371824, 4.824413 52.371869, 4.824315 52.3719, 4.821745 52.372304, 4.821664 52.372109, 4.821633 52.372069, 4.821578 52.372032, 4.821521 52.372012, 4.821451 52.372001, 4.821386 52.372002, 4.817706 52.372581))"
131,F77c,Buurt 4 Oost,F77,F,359221.0,"POLYGON ((4.812009 52.384648, 4.818736 52.384723, 4.818846 52.382437, 4.818889 52.38228, 4.818977 52.382133, 4.819059 52.382039, 4.819215 52.381913, 4.819406 52.381807, 4.819624 52.381721, 4.819865 52.381662, 4.82141 52.381369, 4.820648 52.379546, 4.820138 52.378325, 4.813374 52.379386, 4.812559 52.379484, 4.811818 52.37943, 4.809406 52.379385, 4.809428 52.379511, 4.809385 52.380361, 4.810099 52.380527, 4.812171 52.380557, 4.812009 52.384648))"
132,F77d,Buurt 5 Noord,F77,F,231468.0,"POLYGON ((4.808717 52.376717, 4.809383 52.37924, 4.809406 52.379385, 4.811818 52.37943, 4.812559 52.379484, 4.813374 52.379386, 4.820138 52.378325, 4.819042 52.375702, 4.817852 52.375889, 4.817273 52.375963, 4.808717 52.376717))"
133,F77e,Sloterpark,F77,F,1061700.0,"POLYGON ((4.805275 52.37266, 4.807585 52.372432, 4.81361 52.371829, 4.813767 52.372417, 4.816394 52.372139, 4.817369 52.371961, 4.817706 52.372581, 4.821386 52.372002, 4.821451 52.372001, 4.821521 52.372012, 4.821578 52.372032, 4.821633 52.372069, 4.821664 52.372109, 4.821745 52.372304, 4.824315 52.3719, 4.824413 52.371869, 4.824495 52.371824, 4.825654 52.370872, 4.817191 52.363881, 4.812184 52.359718, 4.811291 52.361457, 4.810438 52.363113, 4.810386 52.36319, 4.810269 52.363289, 4.810186 52.363335, 4.810093 52.363372, 4.809993 52.363399, 4.809847 52.363417, 4.809741 52.363439, 4.809611 52.363478, 4.80953 52.363512, 4.809461 52.363548, 4.809359 52.363619, 4.809301 52.363671, 4.809241 52.363746, 4.808904 52.364351, 4.808853 52.36448, 4.808814 52.364626, 4.808799 52.364796, 4.808803 52.364895, 4.808829 52.365038, 4.808887 52.365195, 4.808903 52.365309, 4.808881 52.365491, 4.808812 52.36565, 4.808727 52.36577, 4.808671 52.36583, 4.807973 52.366326, 4.807617 52.366778, 4.807539 52.36691, 4.806114 52.369549, 4.805584 52.370497, 4.805433 52.370798, 4.805307 52.371084, 4.805173 52.371451, 4.805133 52.371592, 4.805106 52.3719, 4.805118 52.372099, 4.805164 52.372348, 4.805275 52.37266))"
134,F77f,Buurt 5 Zuid,F77,F,320548.0,"POLYGON ((4.807585 52.372432, 4.808717 52.376717, 4.817273 52.375963, 4.817852 52.375889, 4.819042 52.375702, 4.817706 52.372581, 4.817369 52.371961, 4.816394 52.372139, 4.813767 52.372417, 4.81361 52.371829, 4.807585 52.372432))"
135,F78a,Buurt 6,F78,F,271028.0,"POLYGON ((4.797907 52.377153, 4.801859 52.377241, 4.801855 52.377344, 4.803034 52.377231, 4.803333 52.377247, 4.808717 52.376717, 4.807585 52.372432, 4.805275 52.37266, 4.801289 52.373055, 4.801789 52.3752, 4.797489 52.375627, 4.797907 52.377153))"
136,F78b,Buurt 7,F78,F,297767.0,"POLYGON ((4.793949 52.378239, 4.794435 52.380105, 4.797932 52.380155, 4.798006 52.378199, 4.798012 52.377621, 4.797993 52.377486, 4.797907 52.377153, 4.797489 52.375627, 4.801789 52.3752, 4.801289 52.373055, 4.793906 52.373782, 4.793003 52.373785, 4.792729 52.374013, 4.792137 52.374838, 4.791507 52.375706, 4.791474 52.375776, 4.791466 52.375819, 4.791469 52.375885, 4.791502 52.375976, 4.791577 52.376065, 4.791657 52.376123, 4.793222 52.377049, 4.793475 52.377143, 4.793617 52.377248, 4.793695 52.377349, 4.793728 52.377425, 4.793949 52.378239))"
137,F78c,Buurt 8,F78,F,268535.0,"POLYGON ((4.797907 52.377153, 4.797993 52.377486, 4.798012 52.377621, 4.798006 52.378199, 4.797932 52.380155, 4.808159 52.380336, 4.809385 52.380361, 4.809428 52.379511, 4.809406 52.379385, 4.809383 52.37924, 4.808717 52.376717, 4.803333 52.377247, 4.803034 52.377231, 4.801855 52.377344, 4.801859 52.377241, 4.797907 52.377153))"
138,F78d,Buurt 9,F78,F,434922.0,"POLYGON ((4.794225 52.384439, 4.801944 52.384526, 4.807091 52.384593, 4.807142 52.383496, 4.807106 52.383252, 4.807118 52.382978, 4.807254 52.382601, 4.807953 52.382723, 4.808063 52.382483, 4.808159 52.380336, 4.797932 52.380155, 4.794435 52.380105, 4.794225 52.384439))"
139,F78e,Eendrachtspark,F78,F,140129.0,"POLYGON ((4.807091 52.384593, 4.812009 52.384648, 4.812171 52.380557, 4.810099 52.380527, 4.809385 52.380361, 4.808159 52.380336, 4.808063 52.382483, 4.807953 52.382723, 4.807254 52.382601, 4.807118 52.382978, 4.807106 52.383252, 4.807142 52.383496, 4.807091 52.384593))"
140,F79a,Osdorper Binnenpolder,F79,F,2100470.0,"POLYGON ((4.75896 52.384112, 4.787352 52.38437, 4.787538 52.378151, 4.79208 52.378184, 4.792106 52.378423, 4.793949 52.378239, 4.793728 52.377425, 4.793695 52.377349, 4.793617 52.377248, 4.793475 52.377143, 4.793222 52.377049, 4.791657 52.376123, 4.791577 52.376065, 4.791502 52.375976, 4.791469 52.375885, 4.791466 52.375819, 4.791474 52.375776, 4.791507 52.375706, 4.792137 52.374838, 4.791566 52.374685, 4.791148 52.374987, 4.790436 52.375327, 4.790042 52.375589, 4.789227 52.375992, 4.788664 52.375585, 4.786722 52.374093, 4.7846 52.372418, 4.783014 52.371181, 4.781133 52.369796, 4.780933 52.369632, 4.780655 52.369725, 4.778892 52.370789, 4.776027 52.372408, 4.775912 52.372531, 4.775217 52.372941, 4.769784 52.376067, 4.768882 52.376738, 4.76843 52.376935, 4.767991 52.377136, 4.766839 52.377768, 4.765718 52.378477, 4.765271 52.378788, 4.764594 52.379197, 4.763729 52.379551, 4.762913 52.379901, 4.762156 52.380266, 4.760175 52.381387, 4.760131 52.381397, 4.760082 52.381399, 4.760037 52.381391, 4.759996 52.381375, 4.759209 52.380858, 4.759086 52.380935, 4.758994 52.383663, 4.75896 52.384112))"
141,F79b,Buurt 10,F79,F,320952.0,"POLYGON ((4.787352 52.38437, 4.794225 52.384439, 4.794435 52.380105, 4.793949 52.378239, 4.792106 52.378423, 4.79208 52.378184, 4.787538 52.378151, 4.787352 52.38437))"
142,F80a,Ookmeer,F80,F,725431.0,"POLYGON ((4.793003 52.373785, 4.793906 52.373782, 4.801289 52.373055, 4.805275 52.37266, 4.805164 52.372348, 4.805118 52.372099, 4.805106 52.3719, 4.805133 52.371592, 4.805173 52.371451, 4.805307 52.371084, 4.805433 52.370798, 4.805584 52.370497, 4.806114 52.369549, 4.807539 52.36691, 4.802013 52.365799, 4.795326 52.364434, 4.793691 52.367477, 4.793398 52.372533, 4.793355 52.372837, 4.793252 52.373287, 4.793003 52.373785))"
143,F81a,Wildeman,F81,F,330000.0,"POLYGON ((4.795326 52.364434, 4.802013 52.365799, 4.80364 52.362705, 4.80516 52.363015, 4.805278 52.36302, 4.8054 52.363005, 4.805487 52.36298, 4.80558 52.362936, 4.805639 52.362888, 4.805727 52.362786, 4.806728 52.360908, 4.79816 52.359175, 4.796917 52.36148, 4.795326 52.364434))"
