,neighbourhood_code,neigbourhood,neighbourhood_combination_code,district_code,surface_m2,geometry
12,F86f,Lucas/Andreasziekenhuis e.o.,F86,F,184923.0,"POLYGON ((4.834359 52.370099, 4.834419 52.37037, 4.834548 52.370905, 4.834694 52.371439, 4.834944 52.372126, 4.83528 52.372933, 4.835251 52.372938, 4.835338 52.373145, 4.840603 52.372322, 4.840862 52.372292, 4.841191 52.372266, 4.842137 52.372233, 4.843038 52.372207, 4.843028 52.371903, 4.842855 52.371905, 4.842854 52.371871, 4.842799 52.371855, 4.84272 52.370921, 4.842572 52.369999, 4.842562 52.369821, 4.842569 52.36958, 4.842154 52.369574, 4.842162 52.369302, 4.840909 52.369293, 4.84047 52.3693, 4.840096 52.369323, 4.83929 52.369396, 4.838858 52.369442, 4.838315 52.369517, 4.834359 52.370099))"
13,F87a,Koningin Wilhelminaplein,F87,F,263637.0,"POLYGON ((4.834157 52.35604, 4.842549 52.356131, 4.842644 52.352992, 4.842649 52.352444, 4.842633 52.35207, 4.840544 52.352054, 4.84042 52.351993, 4.836515 52.351967, 4.835801 52.351899, 4.834204 52.351889, 4.834175 52.352854, 4.834088 52.354504, 4.834118 52.355534, 4.834157 52.35604))"
14,F87b,Andreasterrein,F87,F,177407.0,"POLYGON ((4.842496 52.357975, 4.848885 52.358037, 4.848891 52.357906, 4.848933 52.355499, 4.84474 52.355473, 4.844793 52.352087, 4.842633 52.35207, 4.842649 52.352444, 4.842644 52.352992, 4.842549 52.356131, 4.842496 52.357975))"
15,F87c,Delflandpleinbuurt Oost,F87,F,181654.0,"POLYGON ((4.840988 52.346019, 4.840996 52.34658, 4.841022 52.347002, 4.841132 52.347694, 4.841189 52.347936, 4.841342 52.348408, 4.841425 52.34862, 4.841752 52.349339, 4.842007 52.349863, 4.842257 52.35044, 4.84248 52.351138, 4.842569 52.351538, 4.842633 52.35207, 4.844793 52.352087, 4.845547 52.352093, 4.845557 52.351575, 4.845646 52.346873, 4.845648 52.34677, 4.84573 52.34677, 4.845821 52.346758, 4.846083 52.346653, 4.84587 52.346461, 4.845655 52.346313, 4.845391 52.346175, 4.845223 52.346106, 4.845069 52.346053, 4.844884 52.346, 4.844712 52.34596, 4.844356 52.345907, 4.844084 52.345891, 4.843466 52.345901, 4.842839 52.345926, 4.842348 52.345957, 4.842345 52.345948, 4.841944 52.345974, 4.840988 52.346019))"
16,F87d,Delflandpleinbuurt West,F87,F,340440.0,"POLYGON ((4.834204 52.351889, 4.835801 52.351899, 4.836515 52.351967, 4.84042 52.351993, 4.840544 52.352054, 4.842633 52.35207, 4.842569 52.351538, 4.84248 52.351138, 4.842257 52.35044, 4.842007 52.349863, 4.841752 52.349339, 4.841425 52.34862, 4.841342 52.348408, 4.841189 52.347936, 4.841132 52.347694, 4.841022 52.347002, 4.840996 52.34658, 4.840988 52.346019, 4.840542 52.346017, 4.840532 52.346031, 4.840257 52.34603, 4.840201 52.346058, 4.840079 52.346022, 4.839884 52.345999, 4.839803 52.345971, 4.839413 52.34593, 4.839379 52.345981, 4.839318 52.346014, 4.839236 52.346037, 4.83918 52.346034, 4.839169 52.346028, 4.839169 52.346034, 4.83883 52.34602, 4.838707 52.345981, 4.838675 52.345956, 4.838639 52.345973, 4.838609 52.34597, 4.838574 52.345953, 4.838546 52.345964, 4.838496 52.345964, 4.838471 52.345948, 4.838439 52.345959, 4.838402 52.345957, 4.838376 52.345943, 4.838351 52.345952, 4.838292 52.345942, 4.838106 52.345945, 4.838033 52.345968, 4.837973 52.346012, 4.83718 52.345997, 4.837163 52.345993, 4.837107 52.345879, 4.836956 52.345833, 4.836906 52.345885, 4.836784 52.345866, 4.836471 52.34585, 4.834765 52.345775, 4.83441 52.345771, 4.834261 52.348427, 4.834193 52.350473, 4.834209 52.351026, 4.834204 52.351889))"
17,F87e,Riekerhaven,F87,F,416534.0,"POLYGON ((4.83441 52.345771, 4.834765 52.345775, 4.836471 52.34585, 4.836784 52.345866, 4.836906 52.345885, 4.836956 52.345833, 4.837107 52.345879, 4.837163 52.345993, 4.83718 52.345997, 4.837973 52.346012, 4.838033 52.345968, 4.838106 52.345945, 4.838292 52.345942, 4.838351 52.345952, 4.838376 52.345943, 4.838402 52.345957, 4.838439 52.345959, 4.838471 52.345948, 4.838496 52.345964, 4.838546 52.345964, 4.838574 52.345953, 4.838609 52.34597, 4.838639 52.345973, 4.838675 52.345956, 4.838707 52.345981, 4.83883 52.34602, 4.839169 52.346034, 4.839169 52.346028, 4.83918 52.346034, 4.839236 52.346037, 4.839318 52.346014, 4.839379 52.345981, 4.839413 52.34593, 4.839803 52.345971, 4.839884 52.345999, 4.840079 52.346022, 4.840201 52.346058, 4.840257 52.34603, 4.840532 52.346031, 4.840542 52.346017, 4.840988 52.346019, 4.841944 52.345974, 4.841947 52.345555, 4.841785 52.345539, 4.841725 52.345521, 4.84166 52.345475, 4.841637 52.345428, 4.841636 52.345404, 4.841663 52.345362, 4.841646 52.345058, 4.841527 52.344091, 4.841506 52.343751, 4.841505 52.343496, 4.841515 52.343496, 4.841518 52.343429, 4.841496 52.343425, 4.841505 52.343267, 4.84152 52.343267, 4.841521 52.343198, 4.84153 52.343189, 4.841706 52.341749, 4.841884 52.340609, 4.842008 52.339976, 4.842092 52.339717, 4.842206 52.339488, 4.842351 52.339274, 4.842509 52.339092, 4.842728 52.338891, 4.842912 52.338754, 4.843177 52.338588, 4.843357 52.338498, 4.843716 52.338351, 4.844017 52.338256, 4.844288 52.338187, 4.844547 52.338137, 4.844891 52.338092, 4.845299 52.338064, 4.845705 52.338058, 4.84595 52.338067, 4.845991 52.338075, 4.845994 52.338063, 4.84601 52.338062, 4.846015 52.338073, 4.846413 52.338097, 4.846516 52.338112, 4.846521 52.338105, 4.846666 52.338117, 4.846664 52.338126, 4.846853 52.338139, 4.846856 52.338131, 4.846972 52.33814, 4.846972 52.33814, 4.847032 52.337685, 4.844466 52.337551, 4.843771 52.337529, 4.843215 52.337523, 4.842381 52.337536, 4.84165 52.337571, 4.841059 52.337615, 4.840201 52.337703, 4.839705 52.337844, 4.839464 52.337922, 4.839225 52.338003, 4.838762 52.338181, 4.838536 52.338276, 4.838102 52.33848, 4.837689 52.338699, 4.837492 52.338815, 4.837114 52.339057, 4.836935 52.339184, 4.836763 52.339313, 4.836437 52.339582, 4.835996 52.340002, 4.835674 52.340351, 4.835487 52.340584, 4.835196 52.341031, 4.835014 52.341499, 4.834925 52.34181, 4.834885 52.342012, 4.834761 52.342854, 4.834687 52.343261, 4.834608 52.343847, 4.834522 52.344075, 4.834457 52.34436, 4.834438 52.34454, 4.834414 52.345628, 4.83441 52.345771))"
18,F87f,Schipluidenbuurt,F87,F,116474.0,"POLYGON ((4.834197 52.357885, 4.842496 52.357975, 4.842549 52.356131, 4.834157 52.35604, 4.834177 52.356308, 4.834201 52.35732, 4.834197 52.357885))"
19,F88a,Riekerpolder,F88,F,645668.0,"POLYGON ((4.820876 52.342043, 4.82174 52.342095, 4.822069 52.342108, 4.822703 52.342108, 4.823094 52.342124, 4.823974 52.342202, 4.824846 52.342341, 4.825702 52.342487, 4.826368 52.342574, 4.826537 52.342588, 4.826906 52.3426, 4.827713 52.342602, 4.827749 52.34341, 4.827744 52.343797, 4.827704 52.344288, 4.827643 52.344589, 4.827615 52.344809, 4.827595 52.345149, 4.827575 52.345586, 4.830435 52.345583, 4.834414 52.345628, 4.834438 52.34454, 4.834457 52.34436, 4.834522 52.344075, 4.834608 52.343847, 4.834687 52.343261, 4.834761 52.342854, 4.834885 52.342012, 4.834925 52.34181, 4.835014 52.341499, 4.835196 52.341031, 4.835487 52.340584, 4.835674 52.340351, 4.835996 52.340002, 4.836437 52.339582, 4.836763 52.339313, 4.836935 52.339184, 4.837114 52.339057, 4.837492 52.338815, 4.837689 52.338699, 4.838102 52.33848, 4.838536 52.338276, 4.838762 52.338181, 4.839225 52.338003, 4.839464 52.337922, 4.839705 52.337844, 4.840201 52.337703, 4.839496 52.337796, 4.837444 52.338108, 4.836683 52.338204, 4.836318 52.338243, 4.835531 52.338314, 4.835145 52.338342, 4.834369 52.338384, 4.833591 52.338409, 4.832604 52.338421, 4.819922 52.338512, 4.819934 52.339517, 4.819989 52.339741, 4.819951 52.340177, 4.819987 52.34045, 4.819939 52.340896, 4.819918 52.341251, 4.819917 52.341491, 4.819992 52.341577, 4.81999 52.341723, 4.820011 52.341829, 4.81998 52.342006, 4.820876 52.342043))"
20,F88b,Park Haagseweg,F88,F,121305.0,"POLYGON ((4.820828 52.343293, 4.820914 52.343386, 4.821004 52.343451, 4.822477 52.344266, 4.822575 52.344328, 4.822743 52.344471, 4.822837 52.344585, 4.822904 52.344706, 4.822944 52.344832, 4.823315 52.3447, 4.823441 52.344667, 4.823667 52.344633, 4.823796 52.344629, 4.823937 52.344634, 4.824227 52.344658, 4.824319 52.344716, 4.824436 52.344771, 4.825135 52.344944, 4.825425 52.345002, 4.825688 52.345046, 4.825929 52.345076, 4.82639 52.345117, 4.826772 52.345134, 4.827595 52.345149, 4.827615 52.344809, 4.827643 52.344589, 4.827704 52.344288, 4.827744 52.343797, 4.827749 52.34341, 4.827713 52.342602, 4.826906 52.3426, 4.826537 52.342588, 4.826368 52.342574, 4.825702 52.342487, 4.824846 52.342341, 4.823974 52.342202, 4.823094 52.342124, 4.822703 52.342108, 4.822069 52.342108, 4.82174 52.342095, 4.820876 52.342043, 4.820765 52.343109, 4.820784 52.343209, 4.820828 52.343293))"
21,F88e,Nieuw Sloten Noordwest,F88,F,373530.0,"POLYGON ((4.797752 52.348344, 4.798017 52.34849, 4.798501 52.348716, 4.798895 52.348876, 4.799436 52.349066, 4.799901 52.349199, 4.80055 52.349358, 4.801146 52.349472, 4.803608 52.349968, 4.808162 52.350888, 4.810231 52.347047, 4.810434 52.346784, 4.810698 52.346261, 4.809782 52.346093, 4.806335 52.345394, 4.80285 52.344691, 4.802326 52.344641, 4.802127 52.344632, 4.801816 52.344632, 4.801591 52.344641, 4.801237 52.344673, 4.801009 52.344706, 4.800858 52.344738, 4.800615 52.344804, 4.80048 52.344853, 4.799938 52.344948, 4.8003 52.345715, 4.800471 52.346002, 4.800835 52.346805, 4.800578 52.346784, 4.800481 52.346793, 4.800305 52.346828, 4.800193 52.346865, 4.800091 52.346911, 4.797752 52.348344))"
