folder,tilecode,n_points,RD_X,RD_Y,dup
nl-amsd-200519-7415-laz,2201_9810,1815,110050,490500,False
nl-amsd-200519-7415-laz,2340_9815,61943,117000,490750,False
nl-amsd-200519-7415-laz,2340_9814,40536,117000,490700,False
nl-amsd-200519-7415-laz,2340_9813,588,117000,490650,False
nl-amsd-200519-7415-laz,2340_9809,1073180,117000,490450,False
nl-amsd-200519-7415-laz,2340_9808,364501,117000,490400,False
nl-amsd-200519-7415-laz,2340_9795,1874,117000,489750,False
nl-amsd-200519-7415-laz,2340_9794,301378,117000,489700,False
nl-amsd-200519-7415-laz,2340_9793,2838288,117000,489650,False
nl-amsd-200519-7415-laz,2340_9792,2009634,117000,489600,False
nl-amsd-200519-7415-laz,2340_9791,2610808,117000,489550,True
nl-amsd-200519-7415-laz,2340_9790,2982503,117000,489500,True
nl-amsd-200519-7415-laz,2340_9789,776331,117000,489450,True
nl-amsd-200519-7415-laz,2340_9788,84114,117000,489400,True
nl-amsd-200519-7415-laz,2340_9787,0,117000,489350,True
nl-amsd-200519-7415-laz,2339_9847,1136969,116950,492350,False
nl-amsd-200519-7415-laz,2339_9846,3017266,116950,492300,False
nl-amsd-200519-7415-laz,2339_9845,3279651,116950,492250,False
nl-amsd-200519-7415-laz,2340_9816,9844,117000,490800,False
nl-amsd-200519-7415-laz,2340_9822,697,117000,491100,False
nl-amsd-200519-7415-laz,2340_9823,12442,117000,491150,False
nl-amsd-200519-7415-laz,2340_9824,67706,117000,491200,False
nl-amsd-200519-7415-laz,2340_9844,0,117000,492200,False
nl-amsd-200519-7415-laz,2340_9843,0,117000,492150,False
nl-amsd-200519-7415-laz,2340_9842,2779,117000,492100,False
nl-amsd-200519-7415-laz,2340_9840,0,117000,492000,False
nl-amsd-200519-7415-laz,2340_9839,8232,117000,491950,False
nl-amsd-200519-7415-laz,2340_9838,285870,117000,491900,False
nl-amsd-200519-7415-laz,2340_9837,65150,117000,491850,False
nl-amsd-200519-7415-laz,2340_9836,3285,117000,491800,False
nl-amsd-200519-7415-laz,2339_9844,690909,116950,492200,False
nl-amsd-200519-7415-laz,2340_9834,2799,117000,491700,False
nl-amsd-200519-7415-laz,2340_9832,931390,117000,491600,False
nl-amsd-200519-7415-laz,2340_9831,3027071,117000,491550,False
nl-amsd-200519-7415-laz,2340_9830,1385787,117000,491500,False
nl-amsd-200519-7415-laz,2340_9829,121923,117000,491450,False
nl-amsd-200519-7415-laz,2340_9828,76457,117000,491400,False
nl-amsd-200519-7415-laz,2340_9827,1507060,117000,491350,False
nl-amsd-200519-7415-laz,2340_9826,1562139,117000,491300,False
nl-amsd-200519-7415-laz,2340_9825,18491,117000,491250,False
nl-amsd-200519-7415-laz,2340_9833,10498,117000,491650,False
nl-amsd-200519-7415-laz,2340_9845,32287,117000,492250,False
nl-amsd-200519-7415-laz,2339_9843,8384,116950,492150,False
nl-amsd-200519-7415-laz,2339_9841,258,116950,492050,False
nl-amsd-200519-7415-laz,2339_9792,211739,116950,489600,False
nl-amsd-200519-7415-laz,2339_9791,27480,116950,489550,True
nl-amsd-200519-7415-laz,2339_9790,910085,116950,489500,True
nl-amsd-200519-7415-laz,2339_9789,698932,116950,489450,True
nl-amsd-200519-7415-laz,2339_9788,86142,116950,489400,True
nl-amsd-200519-7415-laz,2339_9787,200,116950,489350,True
nl-amsd-200519-7415-laz,2338_9848,734,116900,492400,False
nl-amsd-200519-7415-laz,2338_9847,3338870,116900,492350,False
nl-amsd-200519-7415-laz,2338_9846,5415030,116900,492300,False
nl-amsd-200519-7415-laz,2338_9845,1268834,116900,492250,False
nl-amsd-200519-7415-laz,2338_9844,1321303,116900,492200,False
nl-amsd-200519-7415-laz,2338_9843,3286266,116900,492150,False
nl-amsd-200519-7415-laz,2338_9842,2475290,116900,492100,False
nl-amsd-200519-7415-laz,2338_9841,0,116900,492050,False
nl-amsd-200519-7415-laz,2338_9839,0,116900,491950,False
nl-amsd-200519-7415-laz,2338_9838,182623,116900,491900,False
nl-amsd-200519-7415-laz,2338_9837,2076315,116900,491850,False
nl-amsd-200519-7415-laz,2339_9793,191185,116950,489650,False
nl-amsd-200519-7415-laz,2339_9794,18276,116950,489700,False
nl-amsd-200519-7415-laz,2339_9795,2864,116950,489750,False
nl-amsd-200519-7415-laz,2339_9808,323116,116950,490400,False
nl-amsd-200519-7415-laz,2339_9839,651,116950,491950,False
nl-amsd-200519-7415-laz,2339_9838,3170111,116950,491900,False
nl-amsd-200519-7415-laz,2339_9837,1925481,116950,491850,False
nl-amsd-200519-7415-laz,2339_9836,4536,116950,491800,False
nl-amsd-200519-7415-laz,2339_9835,346,116950,491750,False
nl-amsd-200519-7415-laz,2339_9833,157703,116950,491650,False
nl-amsd-200519-7415-laz,2339_9832,2047947,116950,491600,False
nl-amsd-200519-7415-laz,2339_9831,2475215,116950,491550,False
nl-amsd-200519-7415-laz,2339_9842,13660,116950,492100,False
nl-amsd-200519-7415-laz,2339_9830,140475,116950,491500,False
nl-amsd-200519-7415-laz,2339_9828,675497,116950,491400,False
nl-amsd-200519-7415-laz,2339_9827,2368141,116950,491350,False
nl-amsd-200519-7415-laz,2339_9826,118547,116950,491300,False
nl-amsd-200519-7415-laz,2339_9825,1126,116950,491250,False
nl-amsd-200519-7415-laz,2339_9824,573,116950,491200,False
nl-amsd-200519-7415-laz,2339_9823,1600,116950,491150,False
nl-amsd-200519-7415-laz,2339_9815,273,116950,490750,False
nl-amsd-200519-7415-laz,2339_9809,1029525,116950,490450,False
nl-amsd-200519-7415-laz,2339_9829,103204,116950,491450,False
nl-amsd-200519-7415-laz,2340_9846,598477,117000,492300,False
nl-amsd-200519-7415-laz,2340_9847,958518,117000,492350,False
nl-amsd-200519-7415-laz,2341_9787,2413,117050,489350,True
nl-amsd-200519-7415-laz,2342_9830,61898,117100,491500,False
nl-amsd-200519-7415-laz,2342_9829,1093998,117100,491450,False
nl-amsd-200519-7415-laz,2342_9828,660160,117100,491400,False
nl-amsd-200519-7415-laz,2342_9827,37981,117100,491350,False
nl-amsd-200519-7415-laz,2342_9826,464926,117100,491300,False
nl-amsd-200519-7415-laz,2342_9825,5449705,117100,491250,False
nl-amsd-200519-7415-laz,2342_9824,358868,117100,491200,False
nl-amsd-200519-7415-laz,2342_9823,43252,117100,491150,False
nl-amsd-200519-7415-laz,2342_9822,48,117100,491100,False
nl-amsd-200519-7415-laz,2342_9817,57,117100,490850,False
nl-amsd-200519-7415-laz,2342_9816,5241,117100,490800,False
nl-amsd-200519-7415-laz,2342_9815,1957895,117100,490750,False
nl-amsd-200519-7415-laz,2342_9814,246792,117100,490700,False
nl-amsd-200519-7415-laz,2342_9813,274,117100,490650,False
nl-amsd-200519-7415-laz,2342_9809,1082881,117100,490450,False
nl-amsd-200519-7415-laz,2342_9808,489511,117100,490400,False
nl-amsd-200519-7415-laz,2342_9795,189,117100,489750,False
nl-amsd-200519-7415-laz,2342_9831,12321,117100,491550,False
nl-amsd-200519-7415-laz,2342_9832,86051,117100,491600,False
nl-amsd-200519-7415-laz,2342_9833,2926056,117100,491650,False
nl-amsd-200519-7415-laz,2342_9834,1476388,117100,491700,False
nl-amsd-200519-7415-laz,2343_9810,0,117150,490500,False
nl-amsd-200519-7415-laz,2343_9809,1072403,117150,490450,False
nl-amsd-200519-7415-laz,2343_9808,509375,117150,490400,False
nl-amsd-200519-7415-laz,2343_9801,16,117150,490050,False
nl-amsd-200519-7415-laz,2343_9795,101,117150,489750,False
nl-amsd-200519-7415-laz,2343_9794,270697,117150,489700,False
nl-amsd-200519-7415-laz,2343_9793,1750614,117150,489650,False
nl-amsd-200519-7415-laz,2343_9792,31650,117150,489600,False
nl-amsd-200519-7415-laz,2342_9794,400081,117100,489700,False
nl-amsd-200519-7415-laz,2343_9791,3558,117150,489550,True
nl-amsd-200519-7415-laz,2343_9789,867897,117150,489450,True
nl-amsd-200519-7415-laz,2343_9788,105780,117150,489400,True
nl-amsd-200519-7415-laz,2342_9847,57572,117100,492350,False
nl-amsd-200519-7415-laz,2342_9846,1218407,117100,492300,False
nl-amsd-200519-7415-laz,2342_9845,68211,117100,492250,False
nl-amsd-200519-7415-laz,2342_9844,0,117100,492200,False
nl-amsd-200519-7415-laz,2342_9836,0,117100,491800,False
nl-amsd-200519-7415-laz,2342_9835,180673,117100,491750,False
nl-amsd-200519-7415-laz,2343_9790,1361573,117150,489500,True
nl-amsd-200519-7415-laz,2342_9793,1520553,117100,489650,False
nl-amsd-200519-7415-laz,2342_9792,31607,117100,489600,False
nl-amsd-200519-7415-laz,2342_9791,12156,117100,489550,True
nl-amsd-200519-7415-laz,2341_9825,1549113,117050,491250,False
nl-amsd-200519-7415-laz,2341_9824,2646386,117050,491200,False
nl-amsd-200519-7415-laz,2341_9823,114136,117050,491150,False
nl-amsd-200519-7415-laz,2341_9817,2153,117050,490850,False
nl-amsd-200519-7415-laz,2341_9816,91905,117050,490800,False
nl-amsd-200519-7415-laz,2341_9815,1615501,117050,490750,False
nl-amsd-200519-7415-laz,2341_9814,29343,117050,490700,False
nl-amsd-200519-7415-laz,2341_9813,383,117050,490650,False
nl-amsd-200519-7415-laz,2341_9826,2509380,117050,491300,False
nl-amsd-200519-7415-laz,2341_9809,1053969,117050,490450,False
nl-amsd-200519-7415-laz,2341_9795,401,117050,489750,False
nl-amsd-200519-7415-laz,2341_9794,370756,117050,489700,False
nl-amsd-200519-7415-laz,2341_9793,1996022,117050,489650,False
nl-amsd-200519-7415-laz,2341_9792,3345,117050,489600,False
nl-amsd-200519-7415-laz,2341_9791,124230,117050,489550,True
nl-amsd-200519-7415-laz,2341_9790,1096967,117050,489500,True
nl-amsd-200519-7415-laz,2341_9789,788789,117050,489450,True
nl-amsd-200519-7415-laz,2341_9788,86797,117050,489400,True
nl-amsd-200519-7415-laz,2341_9808,460877,117050,490400,False
nl-amsd-200519-7415-laz,2338_9836,22220,116900,491800,False
nl-amsd-200519-7415-laz,2341_9827,123533,117050,491350,False
nl-amsd-200519-7415-laz,2341_9829,1150360,117050,491450,False
nl-amsd-200519-7415-laz,2342_9790,1269949,117100,489500,True
nl-amsd-200519-7415-laz,2342_9789,845515,117100,489450,True
nl-amsd-200519-7415-laz,2342_9788,90703,117100,489400,True
nl-amsd-200519-7415-laz,2342_9787,0,117100,489350,True
nl-amsd-200519-7415-laz,2341_9847,219659,117050,492350,False
