obstacle
"[[119319.91, 485141.78], [119319.91, 485141.81], [119319.77, 485142.0], [119319.74, 485142.03], [119319.73, 485142.03], [119319.09, 485141.81], [119318.86, 485141.72000000003], [119318.73, 485141.62], [119318.72, 485141.56], [119318.78, 485141.44], [119318.8, 485141.41000000003], [119318.87, 485141.41000000003], [119319.84, 485141.75]]"
"[[119341.31, 485103.34], [119341.41, 485103.41000000003], [119341.38, 485103.47000000003], [119341.36, 485103.5], [119340.99, 485103.44], [119340.89, 485103.38], [119341.02, 485103.34]]"
"[[119319.12, 485146.0], [119319.27, 485146.09], [119319.39, 485146.28], [119319.42, 485146.38], [119319.42, 485146.44], [119319.39, 485146.59], [119319.37, 485146.66000000003], [119319.36, 485146.69], [119319.34, 485146.72000000003], [119319.08, 485146.94], [119318.82, 485146.97000000003], [119318.77, 485146.97000000003], [119318.72, 485146.88], [119318.7, 485146.81], [119318.7, 485146.72000000003], [119318.81, 485146.16000000003], [119318.88, 485146.09], [119319.02, 485146.03]]"
"[[119341.12, 485104.47000000003], [119341.24, 485104.34], [119341.56, 485104.56], [119341.6, 485104.59], [119341.6, 485104.62], [119341.59, 485104.66000000003], [119341.55, 485104.66000000003]]"
"[[119301.85, 485107.5], [119301.45, 485107.38], [119301.52, 485106.84], [119301.56, 485106.66000000003], [119301.57, 485106.62], [119301.63, 485106.56], [119301.66, 485106.56], [119301.72, 485106.59], [119302.39, 485107.12], [119302.34, 485107.19]]"
"[[119319.48, 485132.88], [119319.41, 485132.81], [119319.47, 485132.59], [119319.8, 485132.44], [119319.85, 485132.44], [119319.96, 485132.47000000003], [119319.98, 485132.5], [119319.99, 485132.59], [119319.98, 485132.69], [119319.88, 485132.94], [119319.75, 485132.94], [119319.61, 485132.91000000003]]"
"[[119321.36, 485136.84], [119321.23, 485136.72000000003], [119321.35, 485136.34], [119321.8, 485135.53], [119321.95, 485135.44], [119322.19, 485135.44], [119322.2, 485135.47000000003], [119322.2, 485135.5], [119322.19, 485135.53], [119321.86, 485136.19], [119321.45, 485136.88], [119321.41, 485136.88]]"
"[[119306.69, 485099.97000000003], [119306.75, 485099.97000000003], [119306.98, 485100.0], [119307.14, 485100.16000000003], [119307.14, 485100.19], [119307.05, 485100.16000000003], [119306.73, 485100.0]]"
"[[119319.67, 485144.41000000003], [119319.67, 485143.81], [119319.68000000001, 485143.75], [119319.75, 485143.69], [119319.82, 485143.69], [119319.87, 485143.72000000003], [119319.96, 485143.78], [119320.03, 485143.84], [119320.05, 485143.91000000003], [119320.05, 485144.0], [119320.01000000001, 485144.22000000003], [119319.99, 485144.28], [119319.93000000001, 485144.38], [119319.91, 485144.41000000003], [119319.87, 485144.44], [119319.81, 485144.47000000003], [119319.77, 485144.47000000003]]"
"[[119340.85, 485145.19], [119340.66, 485146.31], [119340.43000000001, 485146.31], [119340.11, 485146.25], [119339.98, 485146.22000000003], [119339.85, 485145.97000000003], [119339.82, 485145.91000000003], [119339.8, 485145.5], [119339.8, 485145.31], [119339.84, 485145.16000000003], [119339.91, 485145.06], [119339.96, 485145.03], [119340.02, 485145.0], [119340.11, 485144.97000000003], [119340.26000000001, 485144.97000000003], [119340.76000000001, 485145.06], [119340.82, 485145.12]]"
