name,geometry
terras,"MULTIPOLYGON (((119318.61004186337 485126.8832221896, 119316.98259210265 485127.21082728123, 119316.99863590163 485127.29248076817, 119317.0437743373 485127.56706432375, 119317.08511156672 485127.9234615869, 119317.13496174349 485128.338931616, 119317.16259903842 485128.6440543126, 119317.18105028356 485128.8699776204, 119317.20938047027 485129.2121080868, 119317.22464425777 485129.4893283785, 119317.2346616998 485129.72370345454, 119317.24406539317 485129.988595278, 119317.25220201732 485130.2807583405, 119317.25523079687 485130.6482441121, 119317.25303301515 485130.9897658222, 119317.24333911961 485131.25120643136, 119318.90094009225 485131.28257614904, 119318.89695026493 485130.98304000084, 119318.9030481797 485130.64411023667, 119318.90459264144 485130.2993430152, 119318.89495152127 485129.83187763166, 119318.87644091941 485129.5553109309, 119318.86307773544 485129.237183792, 119318.84585398831 485128.95022697473, 119318.826076318 485128.70093152154, 119318.80633821932 485128.4853983196, 119318.7852934802 485128.26337410323, 119318.75571601039 485127.9653960055, 119318.71770473773 485127.6758696766, 119318.66791392087 485127.3110430423, 119318.61004186337 485126.8832221896)))"
terras,"MULTIPOLYGON (((119316.59268896065 485147.02653016895, 119318.4306764466 485147.81499651325, 119320.4018423406 485143.22002780205, 119318.56385484984 485142.4315614436, 119316.59268896065 485147.02653016895)), ((119308.28845398256 485150.32255852607, 119308.59209493571 485150.9532622065, 119311.5224753852 485150.7311312595, 119314.0773482539 485147.8170363807, 119317.4032205808 485140.06412251847, 119315.56523308664 485139.2756561617, 119312.23936076519 485147.0285700275, 119312.27636056326 485147.06556911074, 119310.05941735269 485149.36755567254, 119310.0914177215 485149.45455402735, 119308.28845398256 485150.32255852607)))"
